Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
NVDA,150,50.00,BUY,BOUGHT NVIDIA CORP,2024-01-12,2024-01-16,0,-7500.00,0,0,,Trade
AMD,50,160.00,BUY,BOUGHT ADV MICRO DEVICES,2024-01-22,2024-01-24,0,-8000.00,0,0,,Trade
MU,70,90.00,BUY,BOUGHT MICRON TECH,2024-02-01,2024-02-05,0,-6300.00,0,0,,Trade
ARM,70,110.00,BUY,BOUGHT ARM HOLDINGS,2024-02-12,2024-02-14,0,-7700.00,0,0,,Trade
ORCL,60,115.00,BUY,BOUGHT ORACLE CORP,2024-02-26,2024-02-28,0,-6900.00,0,0,,Trade
TSLA,50,175.00,BUY,BOUGHT TESLA INC,2024-03-04,2024-03-06,0,-8750.00,0,0,,Trade
NVDA,350,62.00,BUY,BOUGHT NVIDIA CORP,2024-03-11,2024-03-13,0,-21700.00,0,0,,Trade
PLTR,150,24.00,BUY,BOUGHT PALANTIR TECH,2024-03-20,2024-03-22,0,-3600.00,0,0,,Trade
TSLA,50,250.00,SELL,SOLD TESLA INC,2024-04-15,2024-04-17,0,12500.00,0,0,,Trade
PLTR,200,20.00,BUY,BOUGHT PALANTIR TECH,2024-05-02,2024-05-06,0,-4000.00,0,0,,Trade
ARM,70,145.00,SELL,SOLD ARM HOLDINGS,2024-05-20,2024-05-22,0,10150.00,0,0,,Trade
MU,70,108.00,SELL,SOLD MICRON TECH,2024-06-05,2024-06-07,0,7560.00,0,0,,Trade
PLTR,400,15.00,BUY,BOUGHT PALANTIR TECH,2024-06-18,2024-06-20,0,-6000.00,0,0,,Trade
AMD,50,140.00,SELL,SOLD ADV MICRO DEVICES,2024-07-15,2024-07-17,0,7000.00,0,0,,Trade
NVDA,200,102.00,SELL,SOLD NVIDIA CORP,2024-08-06,2024-08-08,0,20400.00,0,0,,Trade
ORCL,30,145.00,SELL,SOLD ORACLE CORP,2024-09-10,2024-09-12,0,4350.00,0,0,,Trade
CRWV,40,95.00,BUY,BOUGHT COREWEAVE,2024-10-02,2024-10-04,0,-3800.00,0,0,,Trade
PLTR,100,42.00,SELL,SOLD PALANTIR TECH,2024-11-05,2024-11-07,0,4200.00,0,0,,Trade
NVDA,100,138.00,BUY,BOUGHT NVIDIA CORP,2024-12-03,2024-12-05,0,-13800.00,0,0,,Trade
