Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
PFE,100,47.00,BUY,BOUGHT PFIZER INC,2023-01-05,2023-01-09,0,-4700.00,0,0,,Trade
PEP,30,170.00,BUY,BOUGHT PEPSICO INC,2023-01-10,2023-01-12,0,-5100.00,0,0,,Trade
V,30,220.00,BUY,BOUGHT VISA INC,2023-01-20,2023-01-24,0,-6600.00,0,0,,Trade
MCD,25,270.00,BUY,BOUGHT MCDONALDS CORP,2023-02-01,2023-02-03,0,-6750.00,0,0,,Trade
DIS,40,110.00,BUY,BOUGHT WALT DISNEY CO,2023-02-10,2023-02-14,0,-4400.00,0,0,,Trade
LLY,20,310.00,BUY,BOUGHT ELI LILLY,2023-02-15,2023-02-17,0,-6200.00,0,0,,Trade
COST,15,490.00,BUY,BOUGHT COSTCO WHOLESALE,2023-03-01,2023-03-03,0,-7350.00,0,0,,Trade
HD,20,300.00,BUY,BOUGHT HOME DEPOT,2023-04-03,2023-04-05,0,-6000.00,0,0,,Trade
PEP,30,185.00,SELL,SOLD PEPSICO INC,2023-04-25,2023-04-27,0,5550.00,0,0,,Trade
V,30,245.00,SELL,SOLD VISA INC,2023-05-22,2023-05-24,0,7350.00,0,0,,Trade
MCD,25,290.00,SELL,SOLD MCDONALDS CORP,2023-06-01,2023-06-05,0,7250.00,0,0,,Trade
JNJ,25,158.00,BUY,BOUGHT JOHNSON JOHNSON,2023-06-01,2023-06-05,0,-3950.00,0,0,,Trade
LLY,20,440.00,SELL,SOLD ELI LILLY,2023-06-15,2023-06-19,0,8800.00,0,0,,Trade
XOM,35,106.00,BUY,BOUGHT EXXON MOBIL,2023-07-01,2023-07-05,0,-3710.00,0,0,,Trade
COST,15,540.00,SELL,SOLD COSTCO WHOLESALE,2023-07-03,2023-07-06,0,8100.00,0,0,,Trade
HD,20,330.00,SELL,SOLD HOME DEPOT,2023-08-01,2023-08-03,0,6600.00,0,0,,Trade
PG,23,150.00,BUY,BOUGHT PROCTER GAMBLE,2023-08-01,2023-08-03,0,-3450.00,0,0,,Trade
KO,63,60.00,BUY,BOUGHT COCA COLA CO,2023-08-15,2023-08-17,0,-3780.00,0,0,,Trade
AAPL,20,178.00,BUY,BOUGHT APPLE INC,2023-09-01,2023-09-06,0,-3560.00,0,0,,Trade
CAT,17,230.00,BUY,BOUGHT CATERPILLAR INC,2023-09-15,2023-09-19,0,-3910.00,0,0,,Trade
DIS,40,95.00,SELL,SOLD WALT DISNEY CO,2024-01-10,2024-01-12,0,3800.00,0,0,,Trade
PFE,100,27.00,SELL,SOLD PFIZER INC,2024-03-01,2024-03-05,0,2700.00,0,0,,Trade
