Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
CVX,30,152.00,BUY,BOUGHT CHEVRON CORP,2023-05-01,2023-05-03,0,-4560.00,0,0,,Trade
CVS,30,75.00,BUY,BOUGHT CVS HEALTH CORP,2023-07-03,2023-07-06,0,-2250.00,0,0,,Trade
PYPL,20,70.00,BUY,BOUGHT PAYPAL HOLDINGS,2023-08-01,2023-08-03,0,-1400.00,0,0,,Trade
F,300,12.00,BUY,BOUGHT FORD MOTOR CO,2023-08-01,2023-08-03,0,-3600.00,0,0,,Trade
CVX,30,175.00,SELL,SOLD CHEVRON CORP,2023-09-15,2023-09-19,0,5250.00,0,0,,Trade
VZ,90,38.00,BUY,BOUGHT VERIZON COMM,2023-10-01,2023-10-03,0,-3420.00,0,0,,Trade
CVS,40,62.00,BUY,BOUGHT CVS HEALTH CORP,2023-11-01,2023-11-03,0,-2480.00,0,0,,Trade
PYPL,40,58.00,BUY,BOUGHT PAYPAL HOLDINGS,2024-01-02,2024-01-04,0,-2320.00,0,0,,Trade
INTC,40,49.00,BUY,BOUGHT INTEL CORP,2024-01-15,2024-01-17,0,-1960.00,0,0,,Trade
F,150,13.00,SELL,SOLD FORD MOTOR CO,2024-02-01,2024-02-05,0,1950.00,0,0,,Trade
INTC,60,40.00,BUY,BOUGHT INTEL CORP,2024-04-01,2024-04-03,0,-2400.00,0,0,,Trade
CVS,50,55.00,BUY,BOUGHT CVS HEALTH CORP,2024-05-01,2024-05-03,0,-2750.00,0,0,,Trade
INTC,100,31.00,BUY,BOUGHT INTEL CORP,2024-07-01,2024-07-03,0,-3100.00,0,0,,Trade
INTC,250,20.00,BUY,BOUGHT INTEL CORP,2024-09-03,2024-09-05,0,-5000.00,0,0,,Trade
